,year,oil_index,mineral_index,country,oil_prod,oil_ex,oil_im,oil_reim,oil_reex,mineral_ex,mineral_im,mineral_reim,mineral_reex,Administrative fees for government services,Bonuses,Compulsory transfers to government (infrastructure and other),Customs and other import duties,Delivered/paid directly to government,Delivered/paid to state-owned enterprise(s),Dividends,Emission and pollution taxes,Excise taxes,"Extraordinary taxes on income, profits and capital gains","Fines, penalties, and forfeits",From government participation (equity),From state-owned enterprises,"General taxes on goods and services (VAT, sales tax, turnover tax)",Licence fees,Motor vehicle taxes,"Ordinary taxes on income, profits and capital gains",Other rent payments,Other taxes payable by natural resource companies,Profits of natural resource export monopolies,Rent,Revenues not classified,Royalties,Sales of goods and services by government units,Social security employer contributions,Taxes on exports,Taxes on payroll and workforce,Taxes on property,Voluntary transfers to government (donations),Withdrawals from income of quasi-corporations,total_revenue,oil_prod_USD,ratio_rev_oilprod
195,2006,65.16,156.1961728,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,0,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660000,NA,NA
196,2007,72.44,183.3122475,Sao Tome and Principe,NA,0,0,0,0,0,48,0,0,0,13600000,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14260000,NA,NA
197,2008,96.94,169.0130834,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,0,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660000,NA,NA
198,2009,61.74,136.5303027,Sao Tome and Principe,NA,0,0,0,0,0,370,0,0,0,0,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660000,NA,NA
199,2010,79.61,202.3197645,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,1.00E+05,0,1.00E+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+05,NA,NA
200,2011,111.26,229.7191412,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,0,2.00E+06,660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660000,NA,NA
201,2012,111.63,191.0341399,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,0,2.00E+06,1.00E+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100000,NA,NA
202,2013,108.56,182.901893,Sao Tome and Principe,NA,0,0,0,0,0,0,0,0,0,5.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E+06,NA,NA
203,2014,98.97,164.3753612,Sao Tome and Principe,NA,0,0,0,0,0,224,0,0,8000,0,1126006,0,0,0,0,0,0,0,0,0,0,0,110000,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0,1280006,NA,NA
204,2006,65.16,156.1961728,Sierra Leone,NA,0,0,0,0,0,0,0,0,35000,0,45356,555670,0,0,0,0,0,0,0,0,0,0,1577052,0,79497,393836,0,0,0,0,3826551,0,0,0,0,0,0,0,6512962,NA,NA
205,2007,72.44,183.3122475,Sierra Leone,NA,0,0,0,0,0,0,0,0,35000,0,85779,1050843,0,0,0,0,0,0,0,0,0,0,1304263,0,668907,327750,2833,0,0,0,5669454,0,0,0,0,0,0,0,9144829,NA,NA
206,2008,96.94,169.0130834,Sierra Leone,NA,0,0,0,0,0,0,0,0,0,0,608545,0,0,0,0,0,0,0,0,0,0,0,1291462,0,0,657882,0,0,0,0,443956,0,0,2025720,0,0,0,0,5027565,NA,NA
207,2009,61.74,136.5303027,Sierra Leone,NA,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,1791813,0,121504,1071410,0,0,0,0,1612625,0,0,1028426,0,0,0,0,5875778,NA,NA
208,2010,79.61,202.3197645,Sierra Leone,NA,0,0,0,0,0,0,0,0,0,0,624970,0,0,0,0,0,0,0,0,0,0,0,2804946,0,170900,700555,0,0,0,0,1715780,0,0,1569641,0,0,0,0,7586792,NA,NA
209,2011,111.26,229.7191412,Sierra Leone,NA,0,0,0,0,0,0,0,0,43991,13900000,730202,0,0,0,0,0,0,0,0,0,0,0,4827061,0,573626,1308253,0,0,0,0,3075705,0,0,3162568,0,0,0,0,27621406,NA,NA
210,2013,108.56,182.901893,Sierra Leone,NA,0,0,0,0,0,0,0,0,1727198,8650000,2208110,0,0,0,0,0,0,0,0,0,0,0,19176633,0,1250180.29,1615962,0,0,0,0,37761162,0,0,2578477,0,0,0,0,74967722.29,NA,NA
211,2008,96.94,169.0130834,Timor-Leste,100,0,0,0,0,0,0,0,0,2995000,0,0,0,0,0,0,0,0,0,0,0,0,0,23840,0,0,0,880709827,0,0,0,1624803871,1040000,0,0,0,0,0,0,2509572538,3538310000,0.709257396
212,2009,61.74,136.5303027,Timor-Leste,94.79178082,0,0,0,0,0,0,0,0,3064000,0,0,0,0,0,0,0,0,0,0,0,0,0,620990,0,0,0,650220161,0,0,0,1109024844,960000,0,0,0,0,0,0,1763889995,2136142260,0.825736201
213,2010,79.61,202.3197645,Timor-Leste,87.9890411,0,0,0,0,0,0,0,0,3064000,0,0,0,0,0,0,0,0,377246383,0,0,0,34575091,7337865,0,458394948,0,0,0,0,0,1241249790,960000,0,0,0,0,0,0,2122828077,2556754760,0.830282243
