,year,oil_index,mineral_index,country,oil_prod,oil_ex,oil_im,oil_reim,oil_reex,mineral_ex,mineral_im,mineral_reim,mineral_reex,Administrative fees for government services,Bonuses,Compulsory transfers to government (infrastructure and other),Customs and other import duties,Delivered/paid directly to government,Delivered/paid to state-owned enterprise(s),Dividends,Emission and pollution taxes,Excise taxes,"Extraordinary taxes on income, profits and capital gains","Fines, penalties, and forfeits",From government participation (equity),From state-owned enterprises,"General taxes on goods and services (VAT, sales tax, turnover tax)",Licence fees,Motor vehicle taxes,"Ordinary taxes on income, profits and capital gains",Other rent payments,Other taxes payable by natural resource companies,Profits of natural resource export monopolies,Rent,Revenues not classified,Royalties,Sales of goods and services by government units,Social security employer contributions,Taxes on exports,Taxes on payroll and workforce,Taxes on property,Voluntary transfers to government (donations),Withdrawals from income of quasi-corporations,total_revenue,oil_prod_USD,ratio_rev_oilprod
107,2014,98.97,164.3753612,Kyrgyz Republic,1,0,0,0,0,0,0,0,0,0,4888678,1895352,2137894,0,0,0,596081,588366,3813309,0,0,89403,19257702,8561563,0,89975339,174553,894510,0,0,0,4032506,0,34166554,0,0,803802,0,0,171875612,36124050,4.75792753
108,2008,96.94,169.0130834,Liberia,NA,0,0,0,0,0,0,0,0,126162,1.50E+07,9575162,1536705,0,0,0,0,34933,0,0,0,0,202788,679523,0,12309,0,21480,0,0,143561,1105337,0,0,5970,0,0,0,0,28443930,NA,NA
109,2009,61.74,136.5303027,Liberia,NA,0,0,0,0,0,0,0,0,482525,0,6150000,2980129,0,0,0,0,48761,0,107145,2452891,0,530136,1382464,0,8102177,439,100,0,0,0,2529229,0,0,81926,0,0,0,0,24847922,NA,NA
110,2010,79.61,202.3197645,Liberia,NA,0,0,0,0,0,0,0,0,25622009,0,11695305,2009475,0,0,0,0,90406,0,506538,250000,0,2568045,1450136,0,3376286,0,500,0,0,0,14640795,0,0,577988,0,0,0,0,62787483,NA,NA
111,2011,111.26,229.7191412,Liberia,NA,0,0,0,0,0,0,0,0,3718918.89,22529644.33,9484240.77,3262283.99,0,0,0,0,158065.56,0,1045868.28,38294.41,0,22683326.2,1948536.85,0,24596380.41,0,267093,0,0,0,15414054.55,0,0,307247.59,0,0,0,0,105453954.8,NA,NA
112,2012,111.63,191.0341399,Liberia,NA,0,0,0,0,0,0,0,0,12415250,2.60E+07,19330210,16023330,0,0,0,0,2441070,0,0,203630,775000,2605175,5598056,0,0,0,3.00E+05,0,0,0,1992364,0,0,15413,0,0,0,0,87699498,NA,NA
113,2013,108.56,182.901893,Liberia,NA,0,0,0,0,0,0,0,0,7420805.814,5.10E+07,15635433.54,7244557.675,0,0,0,0,0,0,728118.163,2758003.09,8916894.18,21356298.88,1546085.45,0,8338001.12,0,4461083.841,0,0,0,11995907.09,0,0,2992425.53,0,0,0,0,144393614.4,NA,NA
114,2014,98.97,164.3753612,Liberia,NA,0,0,0,0,0,0,0,0,11630732,5.00E+05,13869544,5921350.67,0,0,0,0,0,0,1066183,0,8025000,18563628,350759,0,3893137,0,8366579.505,0,0,0,23969037,0,0,1176389,0,0,0,0,97332339.18,NA,NA
115,2015,52.32,126.5737353,Liberia,NA,0,0,0,0,0,0,0,0,8492640,1550000,841124,6014334,0,0,0,0,0,0,1521191,0,3300000,19285604,532356,0,1834101,0,4060081.628,0,0,0,9984835,0,14465450,2236510,0,0,0,0,74118226.63,NA,NA
116,2006,65.16,156.1961728,Mali,NA,0,10802,0,0,0,7951,0,0,0,0,0,15440023,0,0,0,0,336692,31203348,0,39021880,0,11571887,195129,0,67673253,0,3336315,0,0,0,29737971,0,8798001,0,4994908,0,0,0,212309407,NA,NA
117,2007,72.44,183.3122475,Mali,NA,2476,13714,0,0,28,35247,0,0,0,0,0,8179860,0,0,0,0,0,25525113,0,38421583,0,32537271,250803,0,125634180,0,6635,0,0,0,28869783,0,10442525,0,3642628,0,0,0,273510381,NA,NA
118,2008,96.94,169.0130834,Mali,NA,277,91277,0,0,890,78577,0,0,0,0,0,6504870,0,0,0,0,0,31466796,0,34984874,0,21849754,323276,0,129093919,0,6396,0,0,0,32368313,0,11131201,0,4207848,0,0,0,271937247,NA,NA
119,2009,61.74,136.5303027,Mali,NA,0,0,0,0,0,0,0,0,0,0,0,15805631,0,0,0,0,433971,35364968,0,43294318,0,38244524,673788,0,161627302,0,6178,0,0,0,45375138,0,13417482,0,5133762,0,0,0,359377062,NA,NA
120,2010,79.61,202.3197645,Mali,NA,0,0,0,0,80797,13217,0,0,0,0,0,13010626,0,0,0,0,10702799,30505293,0,59742010,0,25791900,349539,0,124932813,0,382116,0,0,0,41355073,0,12788462,0,4663575,0,0,0,324224206,NA,NA
121,2011,111.26,229.7191412,Mali,NA,0,0,0,0,12722611,2291,0,0,0,0,0,43194998,0,0,0,0,46783253,4388544,0,48350194,0,33065487,588206,0,141307879,0,39847,0,0,0,52198120,0,17846353,0,7196446,0,0,0,394959327,NA,NA
122,2013,108.56,182.901893,Mali,NA,0,0,0,0,0,0,0,0,0,0,135717,79383653,27279,0,0,0,57775501,0,0,0,33433584,8822784,1317973,0,107990728,0,45468765,0,0,0,57482474,0,23946623,0,7871340,0,1165621,0,424822042,NA,NA
123,2005,54.57,100,Mauritania,NA,0,0,0,0,381584972,53681,0,0,59424.32683,2.00E+05,0,0,28594243.27,0,0,0,0,0,0,0,0,0,379562.6741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29233230.27,NA,NA
124,2006,65.16,156.1961728,Mauritania,30.61917808,0,12303,0,0,0,41139,0,0,59316.12003,107861000,1708000,0,126877870.9,0,0,0,0,0,0,29106769.02,0,0,401675.5059,0,9646000,0,0,0,0,0,0,0,0,0,0,0,0,0,275660631.5,728228159.9,0.378536078
125,2007,72.44,183.3122475,Mauritania,14.99178082,338758012,41424,0,0,729086036,32534,0,0,150016.186,331000,1533000,0,96476675.23,0,0,0,0,0,5.00E+06,32012664.52,0,0,539329.4198,0,0,0,0,0,0,0,3616179.64,0,0,0,0,0,0,0,139658865,396391679.9,0.35232542
126,2008,96.94,169.0130834,Mauritania,12.83333333,326449457,17959,0,0,901749361,173364,0,0,143089.8141,0,1995000,0,137890364.8,0,0,0,0,0,0,51432371.12,0,0,455672.7662,0,0,0,0,0,0,0,6851476.981,0,0,0,0,0,0,0,198767975.4,454083116.5,0.437734785
127,2009,61.74,136.5303027,Mauritania,11.24521918,217912871,18886,0,0,677117296,703305,0,0,1002642.624,1.00E+06,1687000,0,92218071.82,0,0,0,0,0,1.00E+07,53567542.36,0,0,2662781.906,0,0,0,0,0,0,0,5953676.356,0,0,0,0,0,0,0,168091715.1,253412138.7,0.663313588
128,2010,79.61,202.3197645,Mauritania,8.232232877,0,457,0,0,142404845,523825,0,0,1484072.915,2.00E+06,1337000,0,108499881.2,0,0,0,0,0,0,19377646.84,0,35982323.7,2930159.271,0,8770563.064,0,7909811.637,0,0,0,30185969.43,0,0,0,0,11047.68919,0,0,218488475.8,239209341.7,0.913377689
129,2011,111.26,229.7191412,Mauritania,7.737641096,107486066,0,0,0,1577561486,0,0,0,915975.4778,1.40E+07,1107000,0,147423702.1,0,0,0,0,0,5.00E+06,103653083.3,0,43512441.4,5339719.437,0,33345609.45,0,402708.6188,0,0,0,26646231.52,0,0,0,0,2000,0,0,381348471.3,314224831.1,1.2136166
130,2012,111.63,191.0341399,Mauritania,6.577076503,271296781,1021,0,0,1323311890,798089,0,0,87868,18099974,3885233,3014654,159045887,27249914,0,0,0,0,51567,123545411,0,24973475,1477182,0,58086077,0,87113779,0,0,0,23384309,0,0,0,0,48000,0,0,530063330,267982653.3,1.977976274
131,2013,108.56,182.901893,Mauritania,6.750410959,0,741758,0,0,1572740056,82747,0,0,26667,1600000,3985498,516816,146056294,18907072,0,0,0,0,5.00E+06,85166242,0,6187447,11878242,0,35338206,0,71636327,0,0,0,10124485,0,0,0,0,34972,0,0,396458268,267480984,1.482192349
132,2014,98.97,164.3753612,Mauritania,6.003005479,0,0,0,0,1070778732,29781,0,0,3163640,2971041,3101161,9568417,127350406,0,0,0,0,8322203,19555018,82361010,0,1790443,1060800,0,39193056,0,29026022,0,0,0,19363717,0,0,0,0,58979,0,42393907,389279820,216852870.1,1.795133354
133,2006,65.16,156.1961728,Mongolia,1.032,19841139,0,0,0,787981199,30326,0,0,277610,0,0,7453873,2355,0,0,176,771223,155339863,0,85969381,0,3799900,1438710,82992,118719445,0,0,0,0,0,34023341,2088764,0,0,0,1752057,267608,0,411987298,24544468.8,16.7853418
134,2007,72.44,183.3122475,Mongolia,2.329,53304193,0,0,0,1085912150,65827,0,0,0,0,0,0,0,0,0,5067333,0,0,0,118593358,0,0,0,0,0,0,515333600,0,0,0,0,19159,0,0,0,0,1519451,0,640532901,61580157.4,10.40161195
135,2008,96.94,169.0130834,Mongolia,3.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2609240,0,0,0,23476313,0,0,0,0,0,0,556757162,0,0,0,0,0,0,0,0,0,5099918,0,587942633,113508984.8,5.179701272
136,2009,61.74,136.5303027,Mongolia,5.123,0,0,0,0,0,0,0,0,8130889,1505,0,8558284,17468389,0,0,4634188,1603007,129644451,0,72692258,0,89278,0,156147,67955663,0,101128378,0,0,0,73531831,11905857,0,0,0,10384572,4747620,0,512632317,115447317.3,4.440400427
137,2010,79.61,202.3197645,Mongolia,5.976,0,0,0,0,0,0,0,0,12293772,1031149,0,19005690,93720915,0,0,31228,2134321,339680498,1745009,41247661,0,54218758,3553646,215248,165391206,0,701309,0,0,0,124823748,28631145,34006324,0,0,10529411,8626886,0,941587924,173648516.4,5.422378167
138,2011,111.26,229.7191412,Mongolia,6.98329589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804197,63909080,0,0,0,0,0,0,1550187377,0,0,0,0,26804076,52693227,0,0,0,21398609,0,1716796566,283590947.8,6.053777737
139,2012,111.63,191.0341399,Mongolia,9.934508197,0,0,0,0,0,0,0,0,50234852,998512,0,44586011,135690654,0,0,16589934,2129665,50740,21245685,109355052,0,163750406,9081127,867282,142467557,0,7284853,0,0,0,378326616,1221781,75793992,0,0,12101552,9712616,0,1181488887,404781039.8,2.918834557
140,2013,108.56,182.901893,Mongolia,14.05149589,515455603,0,0,0,1761242556,56695,0,0,20063162,1438455,13031383,27476779,113120213,0,0,14051271,567059,0,5972829,47163265,0,129031321,21490843,1053718,176274420,34043421,1080706,0,0,0,303082339,0,75333058,0,7159164,16151539,7253256,0,1014838201,556782093.7,1.822684696
141,2014,98.97,164.3753612,Mongolia,20.28802466,634611356,0,0,0,3222986985,121576,0,0,0,0,0,41025065,152655409,0,0,16390568,60578069,0,3649951,10997963,0,103868585,12093804,1891261,112386206,10850960,2320509,0,0,0,342767720,0,68777630,0,5676454,24010670,56898183,0,1026839007,732885617.2,1.401090406
142,2015,52.32,126.5737353,Mongolia,23.1765589,387217279,467236,0,0,2662329896,17035,0,2069,0,924764,0,16641232,20356328,0,0,22106336,25910,80476051,3824256,0,779131,49089201,293996324,324330,109182683,0,747725,0,0,0,10714182,1196943,63947141,0,8530873,8279014,0,0,691142424,442598110,1.561557558
143,2005,54.57,100,Niger,NA,2236,76,0,0,149304540,19752,0,0,0,0,262726,640876,0,0,0,0,0,0,0,0,1133638,614241,211706,0,526402,0,7457,0,0,0,9024279,0,0,0,0,0,0,0,12421325,NA,NA
144,2006,65.16,156.1961728,Niger,NA,0,144,0,0,152012697,74,0,0,0,0,440254,750346,0,0,0,0,0,0,0,0,1260263,797966,273404,0,3992252,0,0,0,0,0,12577833,0,0,0,0,0,0,0,20092318,NA,NA
145,2007,72.44,183.3122475,Niger,NA,0,0,0,0,298848266,74,0,0,0,0,428087,1290004,0,0,0,0,0,0,191377,0,8774094,1782242,749203,3428,14109781,0,58736,0,0,0,114874265,0,0,0,0,0,0,0,142261217,NA,NA
146,2008,96.94,169.0130834,Niger,NA,770,0,0,0,440500848,9018,0,0,0,0,566805,2278734,0,0,0,0,0,0,579911,0,28013306,3046483,883127,31134,54086580,0,338775,0,0,0,47794235,0,0,0,0,0,0,0,137619090,NA,NA
147,2009,61.74,136.5303027,Niger,NA,1152,172,0,0,348645296,27395,0,0,0,0,1183941,3075204,0,0,0,0,0,0,30801,0,29794687,4606805,1330833,5208,72489468,0,163632,0,0,0,23904379,0,0,0,0,0,0,0,136584958,NA,NA
148,2010,79.61,202.3197645,Niger,NA,150,5866,0,0,240317477,1239,0,0,0,0,1146336,3399903,0,0,0,0,0,0,136361,0,21174160,3758670,2097836,12371,38964416,0,733806,0,0,0,28971624,0,0,0,0,0,0,0,100395483,NA,NA
149,2011,111.26,229.7191412,Niger,6.712328767,0,255,0,0,670040686,18371,0,0,0,0,1319520,2380133,0,0,0,0,0,0,31548,0,19658770,4821430,2300079,0,41720282,0,1306529,0,0,0,35604139,0,0,0,0,0,0,0,109142430,272587000,0.400394846
150,2012,111.63,191.0341399,Niger,20,2421,176,0,0,664083061,53674,0,0,0,0,5347229,4493993,0,0,0,0,0,0,14236,3381015,21382761,84347792,2151895,0,116878718,0,1114070,0,0,0,83630611,0,0,0,0,0,0,0,322742320,814899000,0.396051928
151,2013,108.56,182.901893,Niger,20,201,4848,0,0,659383108,3337,0,0,2316,0,4481873,3572020,0,0,0,20698,0,118165215,888566,10380387,1871532,71050833,2505568,0,126269080,0,184798,0,0,0,91875997,0,0,0,0,0,0,0,431268883,792488000,0.544196105
152,1999,NA,NA,Nigeria,0,0,0,0,0,0,0,0,0,0,8.70E+07,0,0,6.03E+09,0,0,2.60E+07,0,7.60E+08,0,0,0,72523334.03,0,0,5.20E+07,0,0,0,0,0,8.98E+08,0,0,0,0,0,0,0,7929523334,NA,NA
153,2000,28.66,62.69880178,Nigeria,2165,0,0,0,0,0,0,0,0,0,0,0,0,1.05E+10,0,0,2.20E+07,0,3.35E+09,0,0,0,65804545.33,0,0,0,0,0,0,0,0,1.79E+09,0,0,0,0,0,0,0,15688804545,22647848500,0.692728254
154,2001,24.46,56.26818468,Nigeria,2256.156164,17732153672,541791,0,0,1378915,1249581,0,0,0,1.37E+08,0,0,1.00E+10,0,0,2.90E+07,0,3734071363,0,0,0,79041769.58,0,0,8.90E+07,0,0,0,0,0,1.78E+09,0,0,0,0,0,0,0,15869113133,20142736617,0.787833026
155,2002,24.99,54.31961263,Nigeria,2117.863014,16597958510,217161,0,0,0,549573,0,0,0,3.70E+07,0,0,8.30E+09,0,0,2.10E+07,0,1.81E+09,0,0,0,99601107.16,0,0,3.80E+07,0,0,0,0,0,1.37E+09,0,0,0,0,0,0,0,11672601107,19317769803,0.60424165
156,2003,28.85,60.70570998,Nigeria,2275.000397,23211162021,3973974,0,0,0,1142636,0,0,0,2.35E+08,241462947.6,0,1.12E+10,0,0,2.30E+07,0,3.28E+09,0,0,0,107904740.6,0,0,0,0,0,0,0,0,1.93E+09,0,0,0,0,0,0,0,16976367688,23956322931,0.708638289
157,2004,38.26,81.70468166,Nigeria,2328.962,0,0,0,0,0,0,0,0,0,3.27E+08,7.50E+07,0,1.68E+10,0,0,2.10E+07,0,6432765621,0,0,0,87651174.96,0,0,7.50E+07,0,0,0,0,0,2.83E+09,0,0,0,0,0,0,0,26674416796,32523721434,0.820152665
158,2005,54.57,100,Nigeria,2627.438356,0,0,0,0,0,0,0,0,0,155317000,0,0,12313852000,5424306889,0,28909000,0,10595279782,0,207282000,0,84149796.87,0,0,199296931.4,51340.14285,0,0,0,0,4679468000,0,0,0,0,0,0,0,33687912740,52333448547,0.643716661
159,2006,65.16,156.1961728,Nigeria,2439.863014,54915839438,44164155,0,0,1465188,2193716,0,0,0,985121000,0,0,27176614000,0,0,0,0,10887215000,0,0,0,89596000,0,0,567418000,0,0,0,0,0,4418118000,0,0,0,0,0,0,0,44124082000,58028238007,0.760389829
160,2007,72.44,183.3122475,Nigeria,2349.643836,50149245693,3683977,0,0,21730285,1640448,0,0,0,510243000,0,0,29200960000,0,0,0,0,8381097000,0,842957000,0,216251000,145876.0608,0,716566000,0,63475742.61,0,0,0,3900931881,0,0,0,0,0,0,0,43832627500,62125992810,0.705544097
